Brendan Burns (@brendandburns),Christoph Blecker (@cblecker),Derek Carr (@derekwaynecarr),Pengfei Ni (@feiskyer),Stephen Augustus (@justaugustus),Kris Nova (@kris-nova),Klaus Ma (@k82cn),Lachlan Evenson (@lachie83),Nikhita Raghunath (@nikhita),Paris Pittman (@parispittman),Vallery Lancey (@vllry)
11,4,3,9,2,6,8,10,5,1,7
11,2,4,11,5,7,11,11,3,1,6
1,No opinion,3,No opinion,No opinion,No opinion,No opinion,2,4,No opinion,No opinion
11,11,1,11,11,11,2,11,11,11,11
2,8,1,7,4,9,6,3,5,11,10
1,11,5,3,4,11,11,11,6,7,1
9,5,7,6,11,8,2,10,3,1,4
11,6,11,4,2,11,5,8,1,3,7
11,5,8,6,10,2,7,4,1,9,3
11,8,10,4,7,5,1,2,9,3,6
1,6,5,4,7,9,11,8,2,10,3
5,1,3,10,4,11,6,8,2,7,9
11,4,6,3,5,1,11,11,2,11,11
10,1,7,6,8,11,9,2,5,3,4
7,11,8,10,3,1,9,4,5,2,6
4,2,7,7,1,9,7,5,8,11,3
11,11,11,2,11,11,1,11,3,11,11
1,11,11,3,11,11,11,2,11,11,11
11,4,5,8,3,9,7,6,2,1,10
2,1,11,11,11,11,11,11,11,3,11
10,3,2,9,4,9,11,8,5,1,9
2,5,3,7,1,9,8,11,4,6,10
10,1,6,9,5,11,7,8,2,3,4
4,6,8,9,5,11,10,7,3,2,1
8,11,6,9,2,4,10,5,7,1,3
8,5,4,6,1,10,9,7,3,2,11
1,No opinion,3,10,2,4,9,7,8,5,6
6,4,No opinion,No opinion,2,1,No opinion,No opinion,5,3,No opinion
1,5,No opinion,No opinion,2,8,No opinion,3,6,4,7
7,9,2,6,8,11,5,3,1,4,10
No opinion,2,No opinion,No opinion,No opinion,3,No opinion,No opinion,1,No opinion,No opinion
1,3,9,8,10,6,7,4,2,11,5
11,1,2,11,3,11,11,11,4,11,11
No opinion,2,1,No opinion,No opinion,No opinion,No opinion,No opinion,5,3,4
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
4,4,11,No opinion,2,11,No opinion,5,1,2,No opinion
11,11,2,4,11,11,1,11,3,11,11
2,7,4,9,1,8,6,5,8,8,3
11,4,2,11,5,10,7,11,1,6,10
11,4,2,9,4,10,9,7,2,1,2
1,9,11,8,3,6,10,5,2,7,4
1,11,2,11,3,11,11,11,11,4,11
2,4,3,10,5,9,11,7,6,1,8
1,11,11,11,11,11,11,3,4,2,11
11,1,7,8,3,6,10,10,2,4,5
8,3,4,10,11,5,10,8,2,1,8
4,11,11,11,2,5,11,3,1,11,11
3,1,4,8,9,6,11,5,2,7,10
1,11,11,11,11,2,11,11,11,11,11
11,1,11,11,11,11,11,11,11,11,2
No opinion,No opinion,No opinion,2,3,No opinion,No opinion,No opinion,No opinion,1,No opinion
2,6,7,5,1,4,8,3,No opinion,No opinion,9
10,2,4,11,11,10,11,9,3,1,11
No opinion,1,2,No opinion,No opinion,No opinion,No opinion,No opinion,3,No opinion,No opinion
3,No opinion,No opinion,No opinion,2,6,No opinion,1,No opinion,4,5
2,3,1,11,11,11,11,5,11,11,4
1,11,11,2,11,11,11,11,11,1,11
4,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,3,2,1,5
8,6,7,11,1,10,9,3,4,2,5
5,No opinion,No opinion,No opinion,3,4,No opinion,No opinion,1,2,6
9,7,8,9,5,11,10,1,3,2,6
10,8,9,5,3,7,11,2,6,1,4
11,6,5,10,7,4,8,9,2,1,3
1,6,7,11,4,11,11,2,11,3,5
2,6,10,7,5,9,10,1,4,3,8
11,3,11,11,4,11,11,11,2,1,11
4,2,1,5,11,7,6,9,3,8,10
11,11,11,2,11,11,1,11,3,11,11
11,3,2,11,5,6,11,11,4,1,11
11,11,11,11,1,11,11,1,1,2,11
11,11,11,2,3,11,11,11,4,1,11
8,3,3,10,5,11,9,6,1,1,7
11,1,8,5,4,10,No opinion,2,3,7,6
11,2,1,3,6,10,5,8,4,7,9
8,1,5,10,3,9,2,9,6,4,11
4,9,2,11,3,5,10,8,1,6,7
11,3,4,7,8,10,5,6,2,1,9
6,7,5,No opinion,2,9,No opinion,3,4,1,8
4,2,1,6,11,11,11,11,5,4,11
2,7,5,10,11,3,4,1,1,8,6
11,3,4,6,5,10,9,8,2,1,7
2,11,11,3,4,11,11,1,11,11,11
2,11,3,11,11,11,11,11,1,11,11
4,3,1,5,No opinion,No opinion,2,No opinion,4,3,6
11,4,2,9,6,10,8,7,3,1,5
11,9,7,10,2,1,8,3,4,5,6
No opinion,4,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1,2,3
11,3,2,9,7,5,9,7,3,1,5
7,2,4,10,5,9,8,11,3,1,6
11,1,1,11,11,11,11,11,11,11,11
11,11,11,11,1,11,11,11,3,11,2
11,11,11,11,11,11,1,11,11,11,11
1,11,11,11,11,11,1,11,1,11,11
2,5,6,7,8,11,10,3,9,1,4
11,11,11,5,1,11,11,4,3,2,11
5,No opinion,No opinion,No opinion,1,No opinion,No opinion,4,2,3,No opinion
9,3,5,10,9,11,9,4,2,1,7
2,No opinion,No opinion,No opinion,No opinion,No opinion,3,No opinion,1,No opinion,No opinion
11,3,4,9,7,8,10,5,2,1,6
1,2,No opinion,No opinion,1,2,No opinion,1,1,1,2
No opinion,1,No opinion,3,5,6,No opinion,No opinion,4,2,No opinion
7,8,1,10,2,4,9,11,6,3,5
11,3,10,10,2,4,10,10,2,1,10
11,3,5,No opinion,No opinion,4,No opinion,No opinion,2,1,No opinion
2,3,11,1,11,11,11,11,11,11,4
2,6,11,9,8,10,1,7,5,4,7
11,6,5,9,8,4,10,7,2,1,3
11,11,11,1,11,11,11,11,11,11,11
11,11,1,11,2,11,11,11,11,11,11
1,11,11,5,3,11,11,2,7,4,6
11,4,3,11,2,11,11,11,5,1,6
3,2,3,4,1,No opinion,No opinion,4,4,3,4
6,3,11,4,8,5,9,1,2,7,10
No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
2,7,10,1,5,11,6,4,9,3,8
11,11,2,11,5,11,1,11,4,11,3
3,5,1,10,7,2,6,8,11,9,4
4,5,3,1,7,10,2,9,8,6,11
1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
10,5,6,1,7,2,8,9,1,4,3
6,8,9,7,11,3,4,5,2,10,1
5,11,11,5,3,11,11,1,2,3,11
11,3,4,11,11,6,11,7,2,1,11
11,11,2,4,11,11,3,11,11,1,11
11,4,3,5,6,8,7,9,2,1,10
No opinion,4,No opinion,No opinion,2,4,No opinion,5,1,1,3
2,3,4,11,5,8,9,6,10,1,7
4,No opinion,11,7,No opinion,3,10,8,2,1,5
1,3,4,No opinion,3,2,No opinion,No opinion,2,2,3
4,11,11,11,3,11,11,2,1,11,11
4,2,1,10,6,11,10,10,3,10,5
11,11,2,11,11,11,1,11,11,11,11
2,11,11,11,3,No opinion,11,11,1,11,4
1,11,11,3,11,11,11,2,11,11,11
11,1,10,10,3,10,10,10,10,1,10
3,8,1,7,2,6,5,11,4,10,9
7,6,3,2,3,4,1,11,4,11,5
2,No opinion,1,3,4,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
11,3,4,9,7,8,10,5,2,1,6
11,2,No opinion,No opinion,2,3,No opinion,9,2,1,6
11,11,11,11,11,11,11,11,11,1,11
11,3,6,7,8,5,10,9,2,1,4
11,11,3,11,11,5,11,11,2,1,4
11,11,11,11,3,11,11,1,2,11,11
5,2,No opinion,No opinion,4,No opinion,No opinion,No opinion,1,3,No opinion
11,3,4,10,6,8,9,5,2,1,7
11,3,6,10,8,7,9,4,2,1,5
7,2,10,9,4,6,11,3,5,1,8
9,3,4,9,7,8,9,5,2,1,6
2,No opinion,No opinion,3,7,8,No opinion,1,5,6,4
11,2,5,8,7,3,6,10,4,1,9
11,11,11,11,11,11,1,11,11,11,11
11,9,7,7,3,8,10,5,5,2,1
9,6,7,11,3,8,10,5,2,4,1
3,11,4,2,11,11,11,11,11,1,11
1,1,1,1,1,1,1,1,1,1,1
11,5,2,9,4,11,6,7,3,1,8
2,10,11,1,5,8,4,7,3,6,9
1,6,3,10,2,4,8,9,7,5,11
2,10,3,9,6,11,5,8,1,7,4
No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,2,1,No opinion
9,11,10,6,2,7,8,5,1,3,4
4,9,1,10,11,5,9,9,2,3,6
11,11,11,11,11,1,11,11,11,1,11
2,2,2,3,11,1,3,11,1,1,1
11,4,2,9,5,6,10,8,3,1,7
7,No opinion,No opinion,5,1,6,No opinion,4,No opinion,2,3
11,4,11,11,11,11,11,11,2,1,3
3,6,9,7,1,11,8,10,5,2,4
2,4,11,11,11,11,11,11,1,3,11
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion
3,2,1,7,5,8,10,9,4,6,11
3,No opinion,2,11,6,No opinion,1,No opinion,4,No opinion,5
4,6,2,3,11,5,11,11,1,11,11
6,3,1,8,5,11,8,4,2,10,9
1,2,9,10,4,11,7,6,3,5,8
1,4,8,9,10,3,7,11,6,5,2
11,4,8,9,2,7,10,5,1,3,6
3,2,No opinion,No opinion,4,No opinion,No opinion,No opinion,1,No opinion,No opinion
3,7,5,6,10,2,8,9,11,1,4
11,3,4,9,9,9,9,10,2,1,9
2,2,2,1,2,2,1,2,2,2,1
11,3,11,11,11,11,11,11,2,1,11
6,3,6,1,5,6,2,6,4,6,6
2,1,5,10,4,7,8,6,9,3,11
6,4,8,10,1,11,9,7,2,3,5
4,1,4,2,1,4,2,2,2,1,4
1,No opinion,No opinion,6,2,4,No opinion,3,5,8,7
6,4,9,11,7,5,10,8,1,2,3
11,3,8,10,4,7,5,9,2,1,6
4,2,8,No opinion,1,7,No opinion,6,3,5,No opinion
10,10,10,1,10,10,11,10,10,2,10
11,10,10,2,10,6,5,10,4,3,1
11,4,6,11,5,2,11,11,3,1,7
2,1,2,No opinion,2,11,No opinion,1,1,1,No opinion
11,11,1,11,11,11,11,11,11,11,11
9,2,1,9,11,11,10,11,4,11,11
3,11,11,11,2,11,11,4,1,11,11
11,10,2,4,2,7,11,9,4,1,9
3,4,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,2
No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1,1,No opinion
11,3,2,10,5,7,8,9,4,1,6
7,10,11,5,1,11,4,8,6,3,2
2,3,1,10,10,11,9,10,5,4,11
10,4,5,2,8,7,10,5,3,1,9
8,6,11,10,4,7,9,5,1,2,3
11,11,11,3,2,1,5,11,11,4,11
11,4,2,11,11,3,11,11,1,11,11
1,6,5,9,3,11,7,2,4,8,10
3,No opinion,1,No opinion,No opinion,No opinion,2,No opinion,No opinion,No opinion,4
11,3,2,11,4,11,5,11,11,1,11
4,1,3,11,8,3,9,5,2,7,6
1,2,3,11,11,11,11,11,11,11,4
1,10,5,3,6,11,10,2,7,4,8
4,6,No opinion,No opinion,No opinion,3,No opinion,2,5,1,No opinion
11,6,11,11,4,5,11,7,1,2,3
11,11,11,2,11,11,1,11,11,11,11
11,11,11,11,1,11,11,1,11,1,1
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
2,No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,4,3,No opinion
10,9,9,1,2,11,6,9,3,4,5
5,7,11,10,1,10,9,2,3,4,6
6,3,11,10,4,5,8,9,2,1,7
No opinion,3,No opinion,2,4,No opinion,No opinion,No opinion,No opinion,1,No opinion
11,3,2,10,6,6,7,10,2,1,5
7,2,8,11,2,6,5,11,3,1,11
11,6,4,9,3,5,10,8,2,1,7
2,1,3,10,9,11,11,4,11,11,11
5,5,4,6,4,7,7,2,3,1,6
8,7,11,10,2,6,9,1,4,5,3
2,11,11,11,4,11,11,5,3,1,11
1,5,2,6,10,11,4,3,9,7,8
8,2,1,3,9,10,6,7,4,11,5
7,1,6,8,4,8,8,2,5,3,8
3,11,2,4,1,11,11,11,11,11,11
9,3,6,11,4,7,10,8,5,1,2
1,3,11,8,4,11,11,2,5,7,6
5,7,11,3,2,9,10,1,6,8,4
9,3,1,10,11,4,8,7,2,5,6
10,3,9,6,7,11,5,8,2,1,4
2,11,11,1,4,11,11,3,11,11,11
11,1,5,No opinion,3,4,No opinion,8,2,6,No opinion
11,11,11,1,11,11,1,11,11,11,11
6,2,6,No opinion,6,11,11,2,1,1,1
1,5,No opinion,8,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion
11,3,11,11,11,4,11,11,2,1,11
11,2,11,3,11,11,1,11,11,11,11
4,3,1,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
4,1,6,8,3,5,11,2,7,9,10
2,4,10,11,6,8,9,7,5,1,3
11,3,4,11,6,11,11,11,2,1,5
5,4,6,3,11,7,10,9,2,1,8
10,10,4,3,10,10,10,10,2,1,10
5,2,1,9,4,7,9,3,6,8,8
1,No opinion,No opinion,No opinion,No opinion,11,No opinion,No opinion,11,No opinion,No opinion
1,5,7,6,4,10,9,8,2,3,11
2,3,1,No opinion,No opinion,4,No opinion,No opinion,No opinion,5,5
11,4,10,5,9,11,8,3,1,1,9
No opinion,2,No opinion,No opinion,11,11,No opinion,4,1,11,3
8,11,10,9,5,7,1,3,4,6,2
10,11,11,11,3,11,2,9,1,1,9
8,7,3,10,6,11,9,4,1,2,5
3,No opinion,No opinion,No opinion,No opinion,2,No opinion,1,No opinion,No opinion,No opinion
2,4,1,4,1,11,3,3,3,1,4
11,5,10,8,6,9,7,1,4,2,3
2,4,8,11,1,6,11,3,5,7,9
6,1,2,10,8,4,11,7,9,5,3
4,2,1,10,7,3,8,6,11,9,5
10,2,5,8,3,11,7,9,4,1,6
2,7,8,6,4,11,10,3,5,1,9
