detiber,vincepri,natalisucks,soltysh,qedrakmar,justaugustus,xmudrii,ameukam,divya-mohan0209,pohly,pacoxu
11,11,11,1,11,11,1,11,11,1,1
4,6,2,9,3,11,10,5,1,8,7
11,11,11,11,11,11,11,11,11,11,11
2,11,11,3,11,1,11,11,11,11,11
11,3,11,1,11,11,2,11,11,11,4
11,10,11,2,11,3,4,11,11,1,11
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
No opinion,No opinion,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion
11,4,8,2,10,1,5,7,9,3,6
8,1,6,9,7,3,5,2,10,4,11
No opinion,No opinion,No opinion,1,No opinion,1,2,2,1,2,No opinion
11,2,11,1,11,11,11,11,11,11,3
3,11,11,11,2,1,11,4,11,11,11
No opinion,4,No opinion,1,6,3,7,No opinion,5,2,No opinion
4,1,No opinion,4,No opinion,2,No opinion,6,No opinion,5,3
7,9,2,1,11,10,6,4,5,3,8
7,10,2,1,11,9,4,5,6,8,3
5,11,3,2,11,7,7,1,6,4,1
7,9,3,2,11,6,1,4,5,10,8
10,11,10,1,10,10,2,10,10,10,10
6,11,3,1,11,11,11,2,5,11,4
11,7,4,1,2,5,9,10,8,3,6
2,10,7,1,7,11,4,9,3,8,10
11,11,4,2,11,5,1,4,5,5,3
No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
11,11,11,5,11,3,11,11,4,2,1
11,5,11,2,11,4,11,11,11,1,3
No opinion,2,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
11,11,11,11,11,5,11,11,11,11,11
11,4,11,11,11,1,11,11,2,3,5
10,9,1,8,7,6,5,11,3,4,2
2,No opinion,3,No opinion,2,No opinion,2,2,1,1,No opinion
10,6,1,8,5,4,11,2,3,9,7
5,11,3,11,11,1,6,2,4,11,11
4,5,9,10,7,1,6,2,3,8,11
6,11,11,1,11,8,3,11,4,2,11
6,11,7,1,9,2,8,10,5,3,4
4,2,4,1,11,3,4,4,4,4,4
3,1,10,7,6,11,4,2,8,5,9
4,5,9,10,7,1,6,2,3,8,11
1,7,6,4,9,5,8,11,1,3,10
11,7,11,6,5,11,2,4,11,3,1
11,3,9,1,10,5,4,6,8,2,7
2,10,3,4,8,11,5,9,2,6,7
11,6,11,1,11,11,11,11,11,11,11
1,2,No opinion,4,No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,11,11,8,8,No opinion
No opinion,No opinion,4,1,No opinion,2,No opinion,No opinion,4,2,2
11,11,11,11,11,11,11,11,1,11,11
11,11,11,11,11,2,11,11,11,1,3
No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,2,No opinion,No opinion
2,3,11,1,11,11,11,6,11,5,4
8,7,2,1,11,5,4,6,9,3,10
6,2,5,1,4,8,9,10,7,3,11
6,9,4,2,8,1,10,7,3,11,5
11,11,11,11,11,11,11,11,11,11,1
1,11,11,11,11,11,11,11,11,11,11
11,11,4,2,11,11,11,5,1,3,6
No opinion,No opinion,No opinion,No opinion,No opinion,3,1,No opinion,2,No opinion,No opinion
No opinion,No opinion,1,1,No opinion,No opinion,1,No opinion,1,No opinion,No opinion
4,7,6,5,7,1,5,3,5,6,2
11,11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,3,11,11,11,2,1
11,11,1,11,11,11,11,2,11,11,11
4,8,7,10,6,2,3,5,1,11,9
4,8,7,1,9,2,10,11,5,3,6
11,1,2,3,11,11,5,11,11,6,4
11,3,9,1,2,8,10,4,5,6,7
9,11,1,4,6,10,7,2,3,10,5
2,5,1,8,10,3,9,7,4,6,11
2,9,3,6,10,5,7,5,8,1,4
11,11,2,11,11,6,4,5,1,4,3
5,2,11,3,11,6,2,1,11,4,8
3,No opinion,1,No opinion,6,2,No opinion,2,1,No opinion,No opinion
