Timothy St. Clair,Ilya Dmitrichenko,Caleb Miles,Doug Davis,Phillip Whitrock,Kris Nova,Derek Carr,Aaron Crickenberger,Jaice Singer DuMars,Michelle Noorali,Ihor Dvoretskyi,Alex Pollitt,Michael Rubin,Quinton Hoole,Rob Hirschfeld,Aaron Schlesinger,Sebastien Goasguen,Matt Farina,Adnan Abdulhussein,Justin Santa Barbara
4,No opinion,No opinion,1,3,No opinion,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,5,No opinion,No opinion,No opinion,No opinion
6,11,8,20,3,10,1,7,9,2,14,13,4,5,15,18,16,17,12,19
11,No opinion,No opinion,No opinion,9,1,No opinion,No opinion,No opinion,7,6,8,5,10,4,No opinion,3,No opinion,12,2
20,20,4,20,1,20,20,20,20,20,20,20,1,6,20,20,20,20,5,20
14,1,13,12,7,20,6,8,1,15,16,4,3,5,2,10,19,17,11,9
5,6,No opinion,No opinion,No opinion,1,No opinion,No opinion,4,2,5,5,No opinion,No opinion,4,3,No opinion,No opinion,No opinion,3
19,6,4,20,8,13,7,11,10,9,14,2,1,20,3,17,12,15,16,5
11,6,9,20,4,2,3,12,10,8,5,13,20,20,20,20,20,20,7,1
3,20,4,20,7,4,20,1,20,20,4,20,20,20,20,8,20,2,20,20
14,1,5,No opinion,6,3,11,2,7,9,10,No opinion,15,8,12,No opinion,4,16,13,No opinion
6,20,20,20,20,2,20,17,7,3,20,20,20,18,20,20,20,18,20,18
5,10,9,17,6,20,15,2,1,4,11,15,8,12,18,3,8,15,16,19
3,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,8,4,No opinion,No opinion,2,6,No opinion,No opinion,7,No opinion,No opinion,5
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
7,20,9,20,2,5,1,8,10,3,20,20,6,4,20,20,20,20,20,20
6,14,8,20,3,12,1,7,13,2,19,9,4,5,17,18,10,15,11,16
2,No opinion,No opinion,No opinion,No opinion,5,3,No opinion,7,6,No opinion,No opinion,No opinion,4,No opinion,No opinion,No opinion,No opinion,No opinion,1
11,No opinion,10,No opinion,4,No opinion,1,2,8,5,13,No opinion,6,7,No opinion,No opinion,9,3,12,20
12,14,1,20,7,15,4,3,9,10,11,5,6,18,19,16,2,8,17,13
2,16,13,19,7,6,11,17,9,5,18,20,1,12,10,15,3,14,4,8
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
5,No opinion,No opinion,3,No opinion,2,1,No opinion,No opinion,No opinion,No opinion,4,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
1,6,18,16,4,3,2,17,5,No opinion,19,No opinion,No opinion,6,No opinion,No opinion,No opinion,No opinion,No opinion,20
20,11,7,6,1,16,3,12,5,15,2,18,1,4,19,17,13,14,10,8
20,20,20,20,2,20,20,20,20,20,20,20,1,20,20,20,20,20,20,3
9,19,3,2,6,16,10,1,5,No opinion,15,8,14,17,13,12,4,7,11,18
2,20,20,19,20,5,1,19,19,3,4,20,20,20,20,20,20,19,20,19
6,14,8,14,3,12,1,7,12,2,14,9,4,5,14,14,9,14,9,14
2,20,1,20,3,20,20,20,20,20,20,20,20,4,20,20,20,20,20,20
2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
8,10,18,9,1,20,7,5,13,6,4,11,3,19,14,15,12,16,17,2
2,8,5,18,1,No opinion,2,19,9,19,No opinion,5,6,19,18,19,20,No opinion,19,1
3,20,8,20,20,5,20,1,4,6,20,7,20,20,20,20,20,2,20,20
3,14,7,20,6,13,2,8,12,4,20,10,5,1,20,16,9,15,11,17
6,20,10,20,3,20,1,10,20,2,20,15,4,5,20,20,15,20,15,20
10,15,2,11,13,14,1,17,19,18,7,19,6,12,20,9,16,5,4,3
7,8,10,No opinion,No opinion,11,2,No opinion,5,1,4,No opinion,9,6,No opinion,No opinion,No opinion,No opinion,No opinion,3
20,20,20,6,2,4,20,20,20,5,20,20,1,20,20,3,20,20,20,20
5,3,9,4,15,1,17,18,12,2,6,20,19,11,16,7,14,13,8,10
4,No opinion,1,No opinion,No opinion,2,No opinion,No opinion,No opinion,5,No opinion,3,No opinion,6,No opinion,No opinion,No opinion,No opinion,No opinion,7
1,11,4,15,5,6,8,9,2,7,20,17,3,10,13,12,19,14,16,18
5,3,No opinion,No opinion,No opinion,4,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,2,No opinion,6,No opinion,No opinion,No opinion
2,4,20,20,20,20,1,20,20,20,20,5,20,20,20,20,3,20,20,20
4,20,5,6,12,7,8,11,3,9,14,1,2,18,10,13,17,16,15,19
20,20,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,20,20,1
No opinion,No opinion,No opinion,1,No opinion,No opinion,2,No opinion,No opinion,7,No opinion,No opinion,No opinion,6,No opinion,No opinion,No opinion,3,5,4
5,20,20,20,20,20,20,20,1,2,20,20,3,20,20,20,20,20,20,4
11,13,18,3,10,15,6,8,17,4,14,9,7,12,19,20,1,2,5,16
1,19,19,19,19,4,20,5,2,19,19,19,3,19,19,19,19,19,19,19
20,19,19,19,19,19,18,17,19,17,19,19,19,19,19,19,19,18,19,19
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
5,18,7,20,3,12,1,8,13,2,18,10,4,6,19,18,11,18,9,18
2,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
4,5,20,20,20,1,20,20,20,3,20,2,20,20,20,20,20,20,20,20
3,12,6,17,1,15,13,14,9,5,19,7,2,20,10,18,11,8,16,4
6,18,8,20,3,18,1,7,18,2,18,18,4,5,18,18,18,18,18,18
1,No opinion,3,No opinion,No opinion,2,4,No opinion,No opinion,No opinion,No opinion,7,No opinion,5,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
20,20,20,20,20,1,20,20,4,2,20,3,20,20,20,20,20,20,20,20
10,3,4,No opinion,No opinion,12,No opinion,No opinion,No opinion,8,1,7,No opinion,No opinion,9,No opinion,1,5,6,11
20,8,12,19,7,18,14,5,1,3,9,16,18,15,17,6,11,2,4,13
5,15,6,20,12,10,16,7,18,2,1,14,19,17,8,11,13,4,3,9
10,19,16,3,2,14,5,20,12,17,18,4,1,7,9,8,6,15,13,11
6,20,5,20,4,20,20,1,8,7,20,20,3,20,20,20,9,2,20,20
12,16,7,20,1,6,9,5,8,4,14,3,2,18,17,11,13,15,19,10
8,20,20,20,1,20,3,20,20,4,20,20,2,6,20,7,5,20,10,9
6,No opinion,No opinion,No opinion,2,No opinion,No opinion,20,No opinion,3,19,No opinion,1,18,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
No opinion,1,No opinion,No opinion,No opinion,3,No opinion,No opinion,No opinion,6,5,No opinion,No opinion,4,8,No opinion,7,No opinion,No opinion,2
4,8,18,15,5,6,1,12,13,14,16,19,3,10,17,11,7,20,2,9
6,12,8,18,4,13,1,5,17,2,16,9,3,7,19,14,11,20,10,15
5,20,8,20,3,12,1,7,12,2,20,9,4,6,20,20,9,20,9,20
10,11,20,14,19,2,18,16,4,1,7,6,17,13,5,3,8,12,9,15
No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
8,14,6,17,13,4,20,16,18,1,19,12,5,2,15,3,7,9,11,10
1,20,8,20,7,16,13,20,4,5,6,14,2,10,11,3,9,12,20,15
19,16,17,19,8,3,4,6,5,3,2,11,1,19,19,7,10,15,12,9
3,20,20,20,2,20,20,20,20,20,4,7,1,6,5,20,20,20,20,20
9,11,13,15,2,1,7,20,12,3,6,14,8,4,19,5,16,18,10,17
6,20,8,20,3,9,1,10,20,2,20,7,4,5,20,20,20,20,20,20
1,20,6,20,5,4,20,20,2,3,20,20,20,7,9,20,20,20,8,20
19,19,4,19,2,19,19,5,3,19,19,19,1,19,7,19,19,19,19,6
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
20,1,20,20,20,20,4,20,20,20,1,20,20,20,20,20,1,20,20,20
9,No opinion,6,13,3,18,1,16,8,2,16,14,10,7,19,18,17,11,20,4
No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,3,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,20
4,20,3,20,5,20,20,20,20,20,20,6,20,20,2,20,20,20,20,1
20,20,20,20,1,20,20,20,4,20,20,20,20,3,20,20,20,20,20,2
6,8,1,No opinion,13,9,7,3,2,5,11,10,No opinion,14,4,No opinion,20,No opinion,No opinion,No opinion
10,7,12,18,17,8,15,4,2,5,6,3,9,19,1,16,11,15,15,20
4,2,9,20,10,3,20,20,6,7,20,20,20,8,20,5,20,20,20,1
5,19,6,20,9,1,No opinion,20,11,2,3,4,18,No opinion,20,12,10,7,20,8
No opinion,No opinion,1,No opinion,No opinion,4,No opinion,No opinion,3,5,No opinion,No opinion,No opinion,2,6,7,No opinion,No opinion,No opinion,No opinion
5,20,5,20,3,20,4,20,2,20,20,20,1,6,20,20,20,20,20,20
6,20,1,7,20,3,8,20,20,5,2,20,20,4,9,20,20,20,20,20
12,11,1,14,2,10,20,3,4,7,9,13,6,8,15,19,16,18,17,5
5,20,20,20,2,20,6,20,4,20,15,20,1,4,20,20,20,20,20,3
8,15,10,19,7,6,1,2,3,12,17,5,4,9,18,20,14,16,11,13
6,2,20,20,20,5,20,20,20,1,3,4,20,8,20,20,9,20,7,20
5,8,6,9,2,18,4,20,15,16,20,7,1,12,11,17,10,19,13,3
5,12,8,11,3,4,2,12,12,1,10,12,12,6,12,12,7,12,11,7
2,9,12,20,5,20,4,11,8,6,20,20,3,7,10,20,20,20,20,1
20,20,20,20,1,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20
5,20,6,20,3,20,2,20,20,20,8,20,1,7,20,20,20,20,20,4
1,3,No opinion,No opinion,No opinion,1,3,No opinion,3,1,2,No opinion,No opinion,No opinion,2,No opinion,2,No opinion,No opinion,No opinion
1,20,15,11,5,4,13,7,8,6,16,2,3,9,10,12,18,14,17,17
4,2,1,1,2,No opinion,2,1,2,1,1,No opinion,2,20,No opinion,No opinion,5,2,3,1
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
9,5,18,18,10,19,11,18,8,6,18,18,1,4,3,18,2,20,18,7
5,9,6,9,2,8,1,6,8,3,9,7,4,4,9,9,7,9,7,9
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
19,19,5,19,1,6,19,19,3,19,19,19,2,20,19,19,19,19,19,4
No opinion,No opinion,1,No opinion,No opinion,7,No opinion,No opinion,No opinion,2,6,No opinion,No opinion,No opinion,No opinion,4,No opinion,3,5,No opinion
6,14,4,11,5,16,2,1,8,3,17,20,18,19,15,13,10,12,9,7
4,5,20,20,2,20,1,20,20,20,20,20,3,20,20,20,20,20,20,20
10,20,20,20,20,1,20,20,20,2,20,20,20,20,20,20,20,20,20,10
9,19,19,19,4,20,11,19,19,5,6,7,10,19,12,2,19,1,5,3
3,No opinion,4,No opinion,3,No opinion,No opinion,2,1,2,5,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
1,No opinion,2,No opinion,1,3,1,1,2,3,3,2,1,2,2,No opinion,No opinion,No opinion,No opinion,1
2,20,20,20,20,20,20,20,20,20,20,20,3,4,20,20,20,20,20,1
20,17,3,20,1,20,5,17,14,4,20,17,2,20,20,18,19,20,19,17
6,12,8,20,3,7,1,5,9,2,13,16,10,4,20,15,11,14,17,20
20,20,20,20,20,20,10,20,20,20,20,20,20,1,20,20,20,20,20,10
18,11,3,16,4,7,1,9,6,10,2,5,19,20,17,15,13,12,8,14
3,9,7,15,11,20,8,1,19,13,4,14,12,6,10,16,18,2,17,5
2,20,3,2,2,20,20,20,20,20,1,1,2,2,3,20,20,20,20,20
8,9,3,No opinion,1,10,4,7,10,10,6,No opinion,2,14,No opinion,10,No opinion,No opinion,No opinion,5
20,1,11,20,15,3,6,8,5,7,15,9,20,4,15,2,13,10,16,12
3,20,6,20,4,9,2,20,20,5,20,8,20,20,20,10,20,20,20,7
6,20,20,20,2,20,3,20,7,7,20,5,4,20,20,8,20,20,7,1
20,20,20,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5
3,13,8,20,2,16,1,6,12,4,18,9,7,5,19,15,10,14,11,17
3,20,6,20,1,20,20,20,5,20,20,20,2,4,20,20,20,20,20,20
6,19,19,1,19,4,19,5,19,2,19,3,19,19,20,19,19,19,19,19
2,3,6,No opinion,No opinion,8,No opinion,1,7,9,No opinion,No opinion,No opinion,No opinion,No opinion,5,4,No opinion,No opinion,20
3,4,No opinion,No opinion,8,9,No opinion,No opinion,11,5,10,6,15,1,7,No opinion,2,12,No opinion,13
20,20,20,20,20,2,20,1,2,2,20,20,20,3,20,20,3,20,20,2
5,10,3,12,6,14,9,1,7,4,13,17,19,11,15,20,8,2,16,18
5,11,8,20,3,14,1,7,13,2,18,10,4,6,19,16,9,15,12,17
12,8,14,No opinion,4,10,No opinion,9,7,2,11,No opinion,No opinion,No opinion,No opinion,6,5,1,3,13
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
6,20,20,20,3,20,1,20,20,2,20,20,4,5,20,20,20,20,20,20
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
6,20,8,20,2,20,1,5,12,3,19,20,3,6,20,18,20,20,20,17
4,1,20,20,20,1,20,20,5,2,4,3,20,3,20,20,20,20,20,3
3,4,No opinion,No opinion,1,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,3
20,10,20,10,5,20,6,10,20,4,10,3,1,20,10,20,10,10,10,2
10,20,1,20,1,2,10,1,15,15,4,4,1,20,10,20,15,15,20,15
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
2,5,19,7,3,9,1,6,10,11,5,5,5,12,20,10,17,4,8,9
6,9,3,17,13,17,13,1,17,3,9,3,17,6,9,13,9,1,13,6
